perturbation,architecture,rank,mean_regret,kendall_tau_vs_baseline
baseline,A11,1,0.1919153732829075,0.9999999999999999
baseline,A9,2,0.19270830973774686,0.9999999999999999
baseline,A7,3,0.19330413894436302,0.9999999999999999
baseline,A10,4,0.19365507520820052,0.9999999999999999
baseline,A6,5,0.19403360748899423,0.9999999999999999
baseline,Sequential,6,0.1941115868388437,0.9999999999999999
baseline,Reflexion,7,0.1956063082872133,0.9999999999999999
baseline,A8,8,0.1969126332725556,0.9999999999999999
baseline,RAG-Monolithic,9,0.19812038233540047,0.9999999999999999
baseline,A5,10,0.19861446447740735,0.9999999999999999
baseline,Debate,11,0.20008323336324924,0.9999999999999999
baseline,A4,12,0.20122133894904026,0.9999999999999999
baseline,Monolithic,13,0.20412319540984303,0.9999999999999999
baseline,A3,14,0.20445267153670302,0.9999999999999999
baseline,A2,15,0.20604446565911727,0.9999999999999999
baseline,A1,16,0.20767720456107783,0.9999999999999999
baseline,Multi-Agent (A0 full),17,0.21272289825984675,0.9999999999999999
lambda_x_0.5,A11,1,0.09595768664145375,0.9999999999999999
lambda_x_0.5,A9,2,0.09635415486887343,0.9999999999999999
lambda_x_0.5,A7,3,0.09665206947218151,0.9999999999999999
lambda_x_0.5,A10,4,0.09682753760410026,0.9999999999999999
lambda_x_0.5,A6,5,0.09701680374449712,0.9999999999999999
lambda_x_0.5,Sequential,6,0.09705579341942185,0.9999999999999999
lambda_x_0.5,Reflexion,7,0.09780315414360664,0.9999999999999999
lambda_x_0.5,A8,8,0.0984563166362778,0.9999999999999999
lambda_x_0.5,RAG-Monolithic,9,0.09906019116770023,0.9999999999999999
lambda_x_0.5,A5,10,0.09930723223870368,0.9999999999999999
lambda_x_0.5,Debate,11,0.10004161668162462,0.9999999999999999
lambda_x_0.5,A4,12,0.10061066947452013,0.9999999999999999
lambda_x_0.5,Monolithic,13,0.10206159770492151,0.9999999999999999
lambda_x_0.5,A3,14,0.10222633576835151,0.9999999999999999
lambda_x_0.5,A2,15,0.10302223282955864,0.9999999999999999
lambda_x_0.5,A1,16,0.10383860228053891,0.9999999999999999
lambda_x_0.5,Multi-Agent (A0 full),17,0.10636144912992337,0.9999999999999999
lambda_x_1.0,A11,1,0.1919153732829075,0.9999999999999999
lambda_x_1.0,A9,2,0.19270830973774686,0.9999999999999999
lambda_x_1.0,A7,3,0.19330413894436302,0.9999999999999999
lambda_x_1.0,A10,4,0.19365507520820052,0.9999999999999999
lambda_x_1.0,A6,5,0.19403360748899423,0.9999999999999999
lambda_x_1.0,Sequential,6,0.1941115868388437,0.9999999999999999
lambda_x_1.0,Reflexion,7,0.1956063082872133,0.9999999999999999
lambda_x_1.0,A8,8,0.1969126332725556,0.9999999999999999
lambda_x_1.0,RAG-Monolithic,9,0.19812038233540047,0.9999999999999999
lambda_x_1.0,A5,10,0.19861446447740735,0.9999999999999999
lambda_x_1.0,Debate,11,0.20008323336324924,0.9999999999999999
lambda_x_1.0,A4,12,0.20122133894904026,0.9999999999999999
lambda_x_1.0,Monolithic,13,0.20412319540984303,0.9999999999999999
lambda_x_1.0,A3,14,0.20445267153670302,0.9999999999999999
lambda_x_1.0,A2,15,0.20604446565911727,0.9999999999999999
lambda_x_1.0,A1,16,0.20767720456107783,0.9999999999999999
lambda_x_1.0,Multi-Agent (A0 full),17,0.21272289825984675,0.9999999999999999
lambda_x_2.0,A11,1,0.383830746565815,0.9999999999999999
lambda_x_2.0,A9,2,0.3854166194754937,0.9999999999999999
lambda_x_2.0,A7,3,0.38660827788872604,0.9999999999999999
lambda_x_2.0,A10,4,0.38731015041640104,0.9999999999999999
lambda_x_2.0,A6,5,0.38806721497798846,0.9999999999999999
lambda_x_2.0,Sequential,6,0.3882231736776874,0.9999999999999999
lambda_x_2.0,Reflexion,7,0.3912126165744266,0.9999999999999999
lambda_x_2.0,A8,8,0.3938252665451112,0.9999999999999999
lambda_x_2.0,RAG-Monolithic,9,0.39624076467080094,0.9999999999999999
